make,model,year,mileage,color,state,date,price
Chevrolet,Cruze,2011,99157,white,TX,02:01.6,37488
Toyota,Cruze,2017,19882,red,IL,02:01.6,34176
Chevrolet,Altima,2011,77718,blue,CA,02:01.6,40297
Nissan,Fusion,2012,83613,silver,TX,02:01.6,43492
Ford,Cruze,2016,95349,red,NY,02:01.6,26655
Toyota,Accord,2017,23744,silver,IL,02:01.6,10359
Ford,Camry,2012,39212,white,TX,02:01.6,25049
Honda,Cruze,2013,43679,red,FL,02:01.6,41753
Nissan,Fusion,2017,44843,red,FL,02:01.6,14642
Honda,Fusion,2014,55370,white,CA,02:01.6,23514
Nissan,Cruze,2012,33608,red,CA,02:01.6,15420
Honda,Cruze,2013,41146,red,IL,02:01.6,27168
Toyota,Camry,2012,91479,red,CA,02:01.6,21942
Toyota,Camry,2014,11826,silver,FL,02:01.6,15233
Nissan,Accord,2010,67352,red,TX,02:01.6,33656
Ford,Fusion,2015,95389,black,CA,02:01.6,10597
Honda,Altima,2015,36692,blue,FL,02:01.6,19594
Nissan,Camry,2018,78412,red,TX,02:01.6,46579
Nissan,Fusion,2011,72772,red,FL,02:01.6,40874
Chevrolet,Cruze,2015,21945,black,CA,02:01.6,22364
Nissan,Altima,2013,89404,silver,FL,02:01.6,20034
Toyota,Altima,2011,86857,white,FL,02:01.6,47153
Honda,Cruze,2011,51408,silver,CA,02:01.6,46098
Nissan,Camry,2017,52698,white,NY,02:01.6,40546
Nissan,Accord,2012,65905,blue,TX,02:01.6,18361
Nissan,Camry,2011,61562,red,FL,02:01.6,38042
Nissan,Camry,2015,45506,blue,NY,02:01.6,19191
Nissan,Fusion,2018,55439,black,NY,02:01.6,26857
Toyota,Cruze,2010,26672,white,NY,02:01.6,21328
Nissan,Camry,2013,88226,red,TX,02:01.6,35412
Honda,Camry,2016,12078,silver,FL,02:01.6,22661
Ford,Accord,2010,76312,blue,FL,02:01.6,30185
Honda,Fusion,2013,32028,white,CA,02:01.6,19385
Ford,Cruze,2015,71186,black,NY,02:01.6,29725
Toyota,Cruze,2010,59107,red,FL,02:01.6,42947
Toyota,Altima,2015,10303,red,TX,02:01.6,25373
Ford,Cruze,2016,46844,black,CA,02:01.6,42021
Nissan,Cruze,2013,14868,red,TX,02:01.6,14767
Nissan,Fusion,2015,76925,black,TX,02:01.6,13588
Ford,Fusion,2014,60439,white,CA,02:01.6,42147
Toyota,Altima,2015,88831,blue,NY,02:01.6,39761
Nissan,Fusion,2012,87705,red,FL,02:01.6,31326
Toyota,Accord,2014,83357,blue,FL,02:01.6,37597
Honda,Accord,2011,21252,red,TX,02:01.6,34768
Nissan,Cruze,2010,69244,blue,FL,02:01.6,19275
Toyota,Accord,2011,64820,blue,TX,02:01.6,13491
Nissan,Accord,2012,67415,white,FL,02:01.6,15599
Nissan,Camry,2014,76909,silver,NY,02:01.6,42120
Nissan,Accord,2017,99295,red,CA,02:01.6,27393
Ford,Camry,2012,81956,white,FL,02:01.6,43827
Chevrolet,Camry,2013,85479,red,TX,02:01.6,26708
Nissan,Camry,2018,43681,silver,TX,02:01.6,40150
Toyota,Fusion,2013,83539,white,TX,02:01.6,44056
Honda,Camry,2014,55340,red,TX,02:01.6,29126
Toyota,Altima,2017,34037,white,NY,02:01.6,32689
Ford,Altima,2018,50612,red,IL,02:01.6,36340
Honda,Altima,2014,78020,silver,TX,02:01.6,24800
Nissan,Altima,2010,14607,black,IL,02:01.6,25740
Ford,Altima,2014,29361,black,CA,02:01.6,33129
Toyota,Fusion,2015,61145,black,TX,02:01.6,35547
Honda,Cruze,2018,63917,red,TX,02:01.6,47289
Nissan,Cruze,2013,79173,red,TX,02:01.6,30198
Ford,Camry,2015,62543,blue,FL,02:01.6,41175
Ford,Altima,2012,72734,black,CA,02:01.6,49359
Toyota,Cruze,2013,64109,blue,TX,02:01.6,28550
Honda,Accord,2014,29235,white,NY,02:01.6,38523
Chevrolet,Fusion,2012,63631,silver,NY,02:01.6,11322
Chevrolet,Fusion,2013,20860,red,IL,02:01.6,42545
Toyota,Cruze,2016,45157,blue,TX,02:01.6,24604
Chevrolet,Fusion,2015,79367,blue,IL,02:01.6,36525
Ford,Fusion,2014,33947,silver,CA,02:01.6,37357
Toyota,Altima,2010,47125,silver,FL,02:01.6,17037
